Metrics,Date,Energy,Utilities,Materials,Financials,Industrials,Health Care,Real Estate,Consumer Staples
EBIT Margin 12 Months Forward,31/12/2016,8.402379,22.01972,16.005668,27.530521,14.043618,13.991629,26.804742,10.138514
EBITDA Margin 12 Months Forward,31/12/2016,18.822386,34.467392,22.535504,,18.219827,15.972653,49.23879,12.420451
Assets/Equity 12 Months Forward,31/12/2016,2.05516,3.769612,2.800634,7.898277,3.69412,2.457207,2.507267,2.940767
Net Debt/EBITDA 12 Months Forward,31/12/2016,1.523056,4.446913,1.523315,,1.593196,0.806073,4.914877,1.677874
Gross Margin 12 Months Forward,31/12/2016,38.29766,61.660094,29.284565,,27.744852,35.369482,55.634606,29.775459
% Change YTD,31/12/2015,0.273493,0.15551,0.174907,0.237366,0.195526,-0.014982,0.029968,0.056477
EPS NTMA Growth 1 year,31/12/2015,-4.565901,2.578008,10.917895,8.445993,4.510901,10.228504,7.038169,5.277322
Price to Earnings 12 Months Forward,31/12/2015,26.78126,15.493702,14.042313,11.936481,15.438572,16.376241,18.001841,19.742803
Price to Book Value 12 Months Forward,31/12/2015,1.522462,1.526259,2.60731,1.144582,3.635195,3.402516,3.210087,4.455944
Price to Cash Flow 12 Months Forward,31/12/2015,7.971999,7.034016,8.40914,,10.548823,13.508661,17.93904,14.360593
Price to Sales 12 Months Forward,31/12/2015,1.23633,1.583592,1.372765,2.013946,1.502528,1.683722,6.519344,1.259985
Dividend Yield 12 Months Forward,31/12/2015,3.689865,4.026576,2.536665,2.190707,2.497825,1.689945,4.06467,2.888939
Dividend Payout 12 Months Forward,31/12/2015,98.81922,62.386564,35.620639,25.672179,38.562843,27.610664,73.171545,57.03575
Return on Equity 12 Months Forward,31/12/2015,5.684802,9.850834,18.870081,9.588938,23.559419,20.777151,17.798367,22.569964
Enterprise Value to Sales 12 Months Forward,31/12/2015,1.532127,2.833489,1.826248,1.968764,1.904611,2.258247,9.201379,1.463172
Enterprise Value to EBIT 12 Months Forward,31/12/2015,17.687377,13.47436,11.74723,15.910857,12.919005,13.537248,33.643908,15.121478
Enterprise Value to EBITDA 12 Months Forward,31/12/2015,7.901547,8.784122,8.16712,,10.140894,11.830032,18.924183,12.255683
Price to Free Cash Flow 12 Months Forward,31/12/2015,61.192201,-72.618087,17.162934,,16.685563,16.084814,23.191372,21.263382
PEG 12 Months Forward,31/12/2015,-6.582237,3.216491,1.434994,0.940598,1.703989,1.378247,2.342286,2.720721
EBIT Margin 12 Months Forward,31/12/2015,8.662263,21.028749,15.546202,28.154773,14.742708,14.265211,27.92395,9.676119
EBITDA Margin 12 Months Forward,31/12/2015,19.390217,32.256941,22.360982,,18.781494,16.334016,49.306373,11.938724
Assets/Equity 12 Months Forward,31/12/2015,1.979737,3.618624,2.734485,8.671,3.28011,2.332273,2.612674,2.630463
Net Debt/EBITDA 12 Months Forward,31/12/2015,1.52958,4.246857,1.771843,,1.185668,0.717235,5.187826,1.682109
Gross Margin 12 Months Forward,31/12/2015,37.278858,58.2399,28.865308,,27.702199,37.057479,56.240575,28.888854
% Change YTD,31/12/2014,-0.148425,0.020492,-0.001538,0.075195,0.061379,0.171955,0.127726,0.155923
EPS NTMA Growth 1 year,31/12/2014,-18.59083,2.93862,12.291329,17.19931,11.320826,10.284789,9.038793,5.403976
Price to Earnings 12 Months Forward,31/12/2014,16.780951,16.963134,14.995876,12.926375,15.504434,17.19427,18.434011,18.838888
Price to Book Value 12 Months Forward,31/12/2014,1.752269,1.687645,2.620358,1.243748,3.164504,3.551226,3.157498,4.502217
Price to Cash Flow 12 Months Forward,31/12/2014,7.384171,7.810653,8.997337,,11.440433,13.80563,18.755049,14.234111
Price to Sales 12 Months Forward,31/12/2014,1.150596,1.789204,1.322363,2.210186,1.534262,1.786248,6.734195,1.195151
Dividend Yield 12 Months Forward,31/12/2014,3.060346,3.512579,2.338104,1.776855,2.199539,1.592189,3.208613,2.752114
Dividend Payout 12 Months Forward,31/12/2014,51.312943,59.584356,35.061911,22.968292,34.102601,27.363147,59.147603,51.846772
Return on Equity 12 Months Forward,31/12/2014,10.442011,9.948896,17.473857,9.621787,20.435831,20.670927,17.109985,23.898526
Enterprise Value to Sales 12 Months Forward,31/12/2014,1.337907,3.018138,1.676008,2.146688,1.951943,2.283763,9.302643,1.369746
Enterprise Value to EBIT 12 Months Forward,31/12/2014,11.690819,14.140328,11.695825,18.339524,13.143741,13.705188,33.152838,14.226027
Enterprise Value to EBITDA 12 Months Forward,31/12/2014,6.686468,9.370064,8.346906,,10.665105,11.817571,18.858871,11.605009
Price to Free Cash Flow 12 Months Forward,31/12/2014,87.766885,-59.762347,21.019113,,17.491931,16.7267,22.043721,21.084164
PEG 12 Months Forward,31/12/2014,2.075859,3.325902,1.480077,1.288296,1.259243,1.394459,2.042204,2.627961
EBIT Margin 12 Months Forward,31/12/2014,11.444082,21.344187,14.329966,27.837566,14.850739,14.347927,28.92072,9.62845
EBITDA Margin 12 Months Forward,31/12/2014,20.009172,32.210432,20.079389,,18.302142,16.535107,50.246767,11.803058
Assets/Equity 12 Months Forward,31/12/2014,2.042671,3.499721,2.619142,9.095926,2.516813,2.199881,2.510903,2.763346
Net Debt/EBITDA 12 Months Forward,31/12/2014,0.908776,4.006078,1.633223,,0.761128,0.255898,4.936514,1.522402
Gross Margin 12 Months Forward,31/12/2014,35.331189,60.067963,26.789022,,28.291475,35.493522,56.768097,28.454544
% Change YTD,31/12/2013,0.025038,0.415348,0.192011,0.287917,0.224364,0.404115,0.436443,0.285289
EPS NTMA Growth 1 year,31/12/2013,10.300688,3.136998,14.143356,11.900307,10.302736,7.537741,9.897468,8.452229
Price to Earnings 12 Months Forward,31/12/2013,13.013372,14.530073,15.289939,12.468909,16.358486,16.632624,16.242296,16.883801
Price to Book Value 12 Months Forward,31/12/2013,1.871437,1.425495,2.683712,1.201148,3.29126,3.269581,2.614284,4.262045
Price to Cash Flow 12 Months Forward,31/12/2013,7.043648,6.634589,9.199121,,10.966977,13.144352,16.029236,12.832378
Price to Sales 12 Months Forward,31/12/2013,1.081408,1.488146,1.328061,2.073443,1.458113,1.628769,5.5192,1.115273
Dividend Yield 12 Months Forward,31/12/2013,2.430979,4.210429,2.193864,1.733607,2.121374,1.794376,3.492679,2.883466
Dividend Payout 12 Months Forward,31/12/2013,31.616169,61.177842,33.544055,21.616189,34.698318,29.834266,56.729119,48.683863
Return on Equity 12 Months Forward,31/12/2013,14.380875,9.810656,17.552143,9.633143,20.192955,19.677421,15.977409,25.263267
Enterprise Value to Sales 12 Months Forward,31/12/2013,1.203703,2.677944,1.660308,1.974463,1.881098,2.080563,8.05433,1.29488
Enterprise Value to EBIT 12 Months Forward,31/12/2013,8.24712,12.698338,11.594972,17.301664,13.714588,13.227344,31.130585,12.87747
Enterprise Value to EBITDA 12 Months Forward,31/12/2013,5.749452,8.430038,8.313193,,10.868236,10.941039,16.778339,10.558916
Price to Free Cash Flow 12 Months Forward,31/12/2013,61.999919,-31.353602,21.33539,,18.635675,15.6965,20.978448,19.138814
PEG 12 Months Forward,31/12/2013,1.504674,5.145764,1.537141,1.335634,1.391125,1.470246,1.569392,1.923475
EBIT Margin 12 Months Forward,31/12/2013,14.595439,21.088931,14.319204,26.931983,13.716034,13.668585,26.607031,10.055395
EBITDA Margin 12 Months Forward,31/12/2013,20.935968,31.766688,19.971959,,17.308214,16.387647,49.060289,12.263385
Assets/Equity 12 Months Forward,31/12/2013,1.892694,3.487099,2.612126,9.490921,3.590889,2.253732,2.458547,2.752963
Net Debt/EBITDA 12 Months Forward,31/12/2013,0.535301,4.025928,1.475901,,0.599409,0.364592,5.193094,1.402574
Gross Margin 12 Months Forward,31/12/2013,37.864293,59.27279,26.982241,,29.196385,38.842097,60.596664,29.112066
% Change YTD,31/12/2012,0.169881,0.040537,0.174249,0.274505,0.316821,0.327448,-0.057812,0.173822
EPS NTMA Growth 1 year,31/12/2012,3.583265,1.319078,22.249207,15.356901,10.370922,5.453833,9.85765,9.685946
Price to Earnings 12 Months Forward,31/12/2012,10.590053,13.82452,12.165461,10.137452,12.63997,12.523479,18.148264,14.806644
Price to Book Value 12 Months Forward,31/12/2012,1.598048,1.334947,2.169614,0.893103,2.411604,2.389833,2.836562,3.670613
Price to Cash Flow 12 Months Forward,31/12/2012,5.989163,6.419635,7.592745,,8.612108,9.904104,17.808468,11.209735
Price to Sales 12 Months Forward,31/12/2012,0.854105,1.344254,1.104231,1.525436,1.103542,1.287262,6.039345,0.957792
Dividend Yield 12 Months Forward,31/12/2012,2.589911,4.565643,2.527218,1.99443,2.62304,2.39704,2.961649,3.171024
Dividend Payout 12 Months Forward,31/12/2012,27.427292,63.117825,30.744772,20.218434,33.100766,30.019282,53.748793,46.952222
Return on Equity 12 Months Forward,31/12/2012,15.090082,9.656368,17.834211,8.80994,19.110539,19.002676,15.567055,24.790313
Enterprise Value to Sales 12 Months Forward,31/12/2012,0.94542,2.470096,1.378771,1.715286,1.58304,1.666549,8.571518,1.136767
Enterprise Value to EBIT 12 Months Forward,31/12/2012,6.538425,12.129127,8.974982,,11.973553,10.176796,30.449948,11.419955
Enterprise Value to EBITDA 12 Months Forward,31/12/2012,4.765017,8.112993,6.817276,,9.243093,8.36562,17.692133,9.353424
Price to Free Cash Flow 12 Months Forward,31/12/2012,30.488776,-34.531955,16.417855,,13.384699,12.074995,23.078893,17.069675
PEG 12 Months Forward,31/12/2012,2.687596,3.903615,1.495224,0.980542,1.144948,1.22514,1.833709,1.601332
EBIT Margin 12 Months Forward,31/12/2012,14.459438,20.364997,15.362378,27.196661,13.221136,14.24197,28.628631,9.954213
EBITDA Margin 12 Months Forward,31/12/2012,19.840843,30.446176,20.224655,,17.126731,17.164945,49.579288,12.153481
Assets/Equity 12 Months Forward,31/12/2012,1.896035,3.56269,2.330897,9.031277,3.431039,2.157117,2.535434,2.702575
Net Debt/EBITDA 12 Months Forward,31/12/2012,0.41534,3.981388,1.03055,,0.533695,0.35378,5.219176,1.30631
Gross Margin 12 Months Forward,31/12/2012,38.180675,57.508796,27.028868,,30.459359,38.525437,60.660641,29.18951
% Change YTD,31/12/2011,0.00763,-0.043968,0.105172,0.243175,0.107348,0.134197,0.144371,0.058712
EPS NTMA Growth 1 year,31/12/2011,0.733161,-1.721197,7.309616,25.386158,14.30593,6.563663,12.105468,7.622687
Price to Earnings 12 Months Forward,31/12/2011,9.834503,14.043737,10.7036,8.687601,11.79135,11.312734,17.849272,14.552623
Price to Book Value 12 Months Forward,31/12/2011,1.699044,1.434166,2.008399,0.744913,2.175996,2.088065,2.55116,3.474205
Price to Cash Flow 12 Months Forward,31/12/2011,5.90435,6.458359,7.221172,,7.886428,8.786551,16.292632,10.890146
Price to Sales 12 Months Forward,31/12/2011,0.861995,1.304667,0.931291,1.225141,0.991151,1.143631,5.296664,0.960342
Dividend Yield 12 Months Forward,31/12/2011,2.243754,4.198421,2.413398,2.062311,2.604971,2.430164,3.121574,3.164974
Dividend Payout 12 Months Forward,31/12/2011,22.066181,58.961608,25.831688,17.914211,30.674341,27.491358,55.715977,46.057859
Return on Equity 12 Months Forward,31/12/2011,17.27632,10.161031,18.758804,8.631441,18.556993,18.552003,14.141779,23.883666
Enterprise Value to Sales 12 Months Forward,31/12/2011,0.923229,2.307012,1.135478,2.396239,1.481719,1.425327,7.852728,1.13785
Enterprise Value to EBIT 12 Months Forward,31/12/2011,6.076408,11.672107,7.558053,14.224832,11.26461,8.913272,26.294742,11.14513
Enterprise Value to EBITDA 12 Months Forward,31/12/2011,4.500114,7.902016,5.797118,,8.721366,7.419373,16.789727,9.12037
Price to Free Cash Flow 12 Months Forward,31/12/2011,24.308127,-37.84961,13.519797,,13.919494,10.464379,25.01524,16.521243
PEG 12 Months Forward,31/12/2011,0.869499,3.281639,1.350558,0.84892,0.948398,1.29111,1.683174,1.544383
EBIT Margin 12 Months Forward,31/12/2011,15.19367,19.765159,15.023461,,13.153941,14.122956,30.833996,10.209415
EBITDA Margin 12 Months Forward,31/12/2011,20.515691,29.195233,19.586974,,16.989636,16.867742,47.923889,12.475944
Assets/Equity 12 Months Forward,31/12/2011,1.839091,3.546544,2.289112,10.049066,3.320956,2.032296,2.38651,2.598881
Net Debt/EBITDA 12 Months Forward,31/12/2011,0.272453,3.699656,0.833583,,1.910344,0.120489,5.131054,1.247281
Gross Margin 12 Months Forward,31/12/2011,38.568066,55.789799,25.430849,,28.497717,39.414459,58.240245,30.218652
% Change YTD,31/12/2010,0.062095,0.186727,-0.086902,-0.156822,0.003224,0.1386,0.115421,0.142233
EPS NTMA Growth 1 year,31/12/2010,12.98763,-2.183968,24.274007,22.342621,17.917502,7.206878,19.074877,8.398927
Price to Earnings 12 Months Forward,31/12/2010,12.076636,12.199882,14.288265,11.144263,14.192616,10.980531,19.396549,14.123226
Price to Book Value 12 Months Forward,31/12/2010,1.839004,1.303511,2.443738,1.013657,2.469976,1.936166,2.163213,3.433494
Price to Cash Flow 12 Months Forward,31/12/2010,6.664309,5.613828,9.264847,,8.342319,8.379852,15.659893,10.566817
Price to Sales 12 Months Forward,31/12/2010,0.962401,1.143891,1.254188,1.574398,1.140341,1.139237,5.055871,0.954055
Dividend Yield 12 Months Forward,31/12/2010,2.133104,4.651289,1.514902,1.116225,2.176778,2.430356,2.796759,3.151723
Dividend Payout 12 Months Forward,31/12/2010,25.760721,56.745179,21.645323,12.439506,30.83732,26.607206,54.247474,44.512492
Return on Equity 12 Months Forward,31/12/2010,15.227783,10.648993,17.103112,9.10724,17.436791,17.692743,10.827261,24.327902
Enterprise Value to Sales 12 Months Forward,31/12/2010,1.02438,2.070458,1.501511,5.544637,1.701237,1.417326,7.502533,1.121737
Enterprise Value to EBIT 12 Months Forward,31/12/2010,7.426849,10.355193,9.623402,13.445122,13.361207,8.603355,23.449976,10.597716
Enterprise Value to EBITDA 12 Months Forward,31/12/2010,5.233302,7.082571,7.249671,10.956697,10.070891,7.20808,16.557471,8.677744
Price to Free Cash Flow 12 Months Forward,31/12/2010,33.076046,-29.216539,14.998027,,14.152236,10.72966,20.421506,16.483107
PEG 12 Months Forward,31/12/2010,1.255827,2.325698,1.752112,1.191954,1.202317,1.22831,2.452088,1.415244
EBIT Margin 12 Months Forward,31/12/2010,13.792927,19.994398,15.602702,,12.732662,14.426924,32.879073,10.584708
EBITDA Margin 12 Months Forward,31/12/2010,19.574255,29.233149,20.711432,,16.89262,17.095018,46.205597,12.926601
Assets/Equity 12 Months Forward,31/12/2010,1.845681,3.509729,2.256984,9.874325,3.505782,1.944861,2.503454,2.570452
Net Debt/EBITDA 12 Months Forward,31/12/2010,0.316385,3.645283,0.679301,,2.443311,0.040876,5.359481,1.206837
Gross Margin 12 Months Forward,31/12/2010,24.486327,51.09836,26.841816,,29.51407,38.352857,,30.747401
% Change YTD,31/12/2009,0.260505,0.078623,0.282514,0.185331,0.325322,0.077031,0.36926,0.183623
EPS NTMA Growth 1 year,31/12/2009,50.138475,6.20325,38.14931,132.059697,19.042564,8.666707,8.174123,9.917736
Price to Earnings 12 Months Forward,31/12/2009,11.935877,11.889936,15.941206,13.649055,15.850534,11.647769,19.0975,14.054468
Price to Book Value 12 Months Forward,31/12/2009,1.802609,1.374138,2.527946,1.014411,2.317486,2.100762,1.660752,3.429258
Price to Cash Flow 12 Months Forward,31/12/2009,6.33389,5.652068,9.198889,,8.799438,9.370754,16.579468,10.515896
Price to Sales 12 Months Forward,31/12/2009,0.856763,1.093518,1.213975,1.373202,1.01045,1.195081,4.395643,0.940956
Dividend Yield 12 Months Forward,31/12/2009,2.383306,4.639133,1.571413,1.166959,2.380224,2.246013,2.938413,3.131603
Dividend Payout 12 Months Forward,31/12/2009,28.446848,55.145636,25.050225,15.786299,37.721179,26.056921,56.11634,44.009778
Return on Equity 12 Months Forward,31/12/2009,15.102442,11.562243,15.775973,7.432398,14.629527,18.041136,8.623558,24.402028
Enterprise Value to Sales 12 Months Forward,31/12/2009,0.934553,1.993355,1.564034,4.473962,1.698753,1.420246,7.165296,1.092859
Enterprise Value to EBIT 12 Months Forward,31/12/2009,6.576025,10.186879,10.645968,15.158565,16.301275,8.757187,23.530437,10.5112
Enterprise Value to EBITDA 12 Months Forward,31/12/2009,4.765167,6.92158,7.553636,,11.615857,7.201897,16.119185,8.638953
Price to Free Cash Flow 12 Months Forward,31/12/2009,29.493667,-95.866048,17.847702,,16.488626,11.772141,22.877939,16.236273
PEG 12 Months Forward,31/12/2009,1.452766,2.277334,1.92728,1.43955,1.452775,1.239822,2.544698,1.390486
EBIT Margin 12 Months Forward,31/12/2009,14.211521,19.567869,14.691329,,10.420982,14.197326,30.726429,10.39709
EBITDA Margin 12 Months Forward,31/12/2009,19.612182,28.799131,20.705714,,14.624431,17.159443,45.332873,12.650362
Assets/Equity 12 Months Forward,31/12/2009,1.830921,3.636572,2.730481,10.165217,4.01141,1.961571,2.692543,2.430804
Net Debt/EBITDA 12 Months Forward,31/12/2009,0.306667,3.463956,1.09495,,3.998697,0.245649,5.720665,1.093059
Gross Margin 12 Months Forward,31/12/2009,,48.78519,30.139051,,30.663726,38.102509,,30.416918
% Change YTD,31/12/2008,0.078181,0.034697,0.407006,0.112271,0.136152,0.134199,0.170228,0.077402
EPS NTMA Growth 1 year,31/12/2008,-31.612384,5.67441,-13.821547,87.23782,-5.42664,7.13649,-3.030847,6.697685
Price to Earnings 12 Months Forward,31/12/2008,10.311354,11.063352,10.136363,10.802987,10.959137,10.860638,12.29376,13.587065
Price to Book Value 12 Months Forward,31/12/2008,1.583926,1.347194,1.410327,0.870919,1.667931,2.10201,1.494262,3.129956
Price to Cash Flow 12 Months Forward,31/12/2008,5.945802,5.504486,5.482432,,6.636289,8.678515,9.895494,10.183389
Price to Sales 12 Months Forward,31/12/2008,0.917629,1.003015,0.716824,1.043367,0.790091,1.079329,2.80843,0.880978
Dividend Yield 12 Months Forward,31/12/2008,2.528743,4.763324,3.210363,4.094602,3.953011,2.820953,5.416157,3.135627
Dividend Payout 12 Months Forward,31/12/2008,26.066299,53.590568,32.846371,43.574999,43.237761,30.570695,65.978089,42.601798
Return on Equity 12 Months Forward,31/12/2008,15.360986,12.015067,13.846269,8.048767,15.255281,19.354391,9.806192,23.023566
Enterprise Value to Sales 12 Months Forward,31/12/2008,0.949784,1.86782,1.028667,,1.500643,1.340527,5.631091,1.033704
Enterprise Value to EBIT 12 Months Forward,31/12/2008,7.294195,9.629562,8.316571,12.283093,13.03579,8.948728,20.662348,10.369939
Enterprise Value to EBITDA 12 Months Forward,31/12/2008,4.827627,6.750526,5.830791,,9.31237,7.495206,13.507478,8.511416
Price to Free Cash Flow 12 Months Forward,31/12/2008,22.028709,-33.352276,9.545513,,11.818092,10.91463,29.54693,16.731518
PEG 12 Months Forward,31/12/2008,1.303937,1.300667,0.954323,1.02811,0.953049,1.010111,1.447189,1.340692
EBIT Margin 12 Months Forward,31/12/2008,13.02109,19.396729,12.379335,,11.511712,13.267798,27.734195,9.968271
EBITDA Margin 12 Months Forward,31/12/2008,19.673923,27.669253,17.641978,,16.114508,15.710992,42.654424,12.144908
Assets/Equity 12 Months Forward,31/12/2008,1.957385,3.740006,2.370089,12.102372,2.331648,1.966525,2.697371,2.431402
Net Debt/EBITDA 12 Months Forward,31/12/2008,0.295532,3.347848,1.329872,,3.520458,-0.036298,6.249141,1.279874
Gross Margin 12 Months Forward,31/12/2008,,50.966347,27.237546,,26.357846,35.963466,,29.32802
EPS NTMA Growth 1 year,31/12/2007,15.556534,8.477997,7.784767,4.673419,8.727137,17.815896,13.812237,13.148235
Price to Earnings 12 Months Forward,31/12/2007,16.058151,14.426212,9.39903,10.86634,11.982598,13.500137,14.375658,14.684873
Price to Book Value 12 Months Forward,31/12/2007,3.358083,2.115564,1.360812,2.214722,2.387955,2.374691,2.560764,2.314282
Price to Cash Flow 12 Months Forward,31/12/2007,12.072252,6.35124,,6.707628,8.270578,8.411318,9.353222,8.729519
Price to Sales 12 Months Forward,31/12/2007,1.721739,1.618613,1.531175,0.929459,1.385164,0.79863,1.16847,0.773188
Dividend Yield 12 Months Forward,31/12/2007,1.9469,4.677575,4.838554,3.834179,2.321896,2.676479,2.615242,3.118195
Dividend Payout 12 Months Forward,31/12/2007,31.263613,67.479684,45.546702,41.671978,27.82235,36.132839,37.595822,45.790298
Return on Equity 12 Months Forward,31/12/2007,20.912015,14.66472,14.482122,20.381494,19.928522,17.590124,17.813197,15.754752
Enterprise Value to Sales 12 Months Forward,31/12/2007,1.638758,2.326892,6.490606,1.016466,1.583341,1.036979,1.472078,0.932269
Enterprise Value to EBIT 12 Months Forward,31/12/2007,11.623064,11.610934,19.866703,6.50876,9.125783,10.880176,12.882125,11.02724
Enterprise Value to EBITDA 12 Months Forward,31/12/2007,9.170731,6.736661,18.399318,4.97591,7.218733,7.965622,9.264859,7.873403
Price to Free Cash Flow 12 Months Forward,31/12/2007,18.168294,12.756432,,20.245411,16.22674,17.704869,18.627533,18.950675
PEG 12 Months Forward,31/12/2007,1.25808,2.224883,1.084976,2.135483,1.146407,1.096889,1.397488,1.29754
EBIT Margin 12 Months Forward,31/12/2007,14.099192,20.040522,,15.619707,17.35019,9.530898,11.427295,8.45424
EBITDA Margin 12 Months Forward,31/12/2007,17.869438,34.540728,,20.431037,21.933776,13.018174,15.888838,11.840742
Assets/Equity 12 Months Forward,31/12/2007,1.685818,2.584247,23.701005,2.219671,2.061771,3.341391,2.394168,2.4672
Net Debt/EBITDA 12 Months Forward,31/12/2007,-0.934611,1.785216,,0.460024,0.524275,1.054421,0.713648,1.051904
Gross Margin 12 Months Forward,31/12/2007,,,,,,,,
% Change YTD,31/12/2006,-0.011086,0.145795,-0.153216,0.073874,0.268478,0.064606,0.118221,-0.062741
EPS NTMA Growth 1 year,31/12/2006,17.800991,5.498942,6.858706,-0.349412,6.140813,14.347616,12.412935,12.936154
Price to Earnings 12 Months Forward,31/12/2006,17.340795,13.5518,11.710221,10.114069,10.924284,15.128425,14.991258,16.56683
Price to Book Value 12 Months Forward,31/12/2006,3.42272,1.791717,1.801012,2.234738,2.213939,2.467077,2.443877,2.44121
Price to Cash Flow 12 Months Forward,31/12/2006,12.718963,5.674646,,6.332053,7.194412,9.168401,9.077606,9.505616
Price to Sales 12 Months Forward,31/12/2006,1.724781,1.487176,1.839367,0.865598,1.299673,0.817052,1.043944,0.783135
Dividend Yield 12 Months Forward,31/12/2006,1.740675,4.714913,3.626802,3.863398,2.559299,2.401626,2.483912,2.607136
Dividend Payout 12 Months Forward,31/12/2006,30.180383,63.895168,42.518115,39.07473,27.958485,36.330043,37.231864,43.188653
Return on Equity 12 Months Forward,31/12/2006,19.738349,13.221314,15.349258,22.095398,20.265564,16.307902,16.30234,14.735913
Enterprise Value to Sales 12 Months Forward,31/12/2006,1.619061,2.235977,9.130281,0.935682,1.463432,1.016985,1.37478,0.924034
Enterprise Value to EBIT 12 Months Forward,31/12/2006,11.854308,11.246367,23.981726,6.122273,8.089155,11.553619,13.811229,12.101384
Enterprise Value to EBITDA 12 Months Forward,31/12/2006,9.209824,6.411265,22.118386,4.733625,6.110619,8.251253,9.53605,8.49498
Price to Free Cash Flow 12 Months Forward,31/12/2006,20.134918,11.110159,,16.222944,14.385618,19.631757,18.376772,22.784154
PEG 12 Months Forward,31/12/2006,1.389803,1.393575,1.458772,1.347844,0.875707,1.296526,1.299065,1.398293
EBIT Margin 12 Months Forward,31/12/2006,13.658036,19.882248,22.954621,15.283337,18.091246,8.803001,9.954741,7.635961
